,Price (EUR/MWhe)
1528256,0.0990433752565649
1528257,0.02774831199104447
1528258,-0.0501779610337032
1528259,-0.08096125427330844
1528260,-0.04161289047079239
1528261,-0.06601457945081723
1528262,-0.013869410660287775
1528263,0.029400084679112898
1528264,0.033639535537070754
1528265,0.041590585980253336
1528266,0.007972707379268296
1528267,-0.025419620982988698
1528268,-0.08750075291284302
1528269,-0.13564279840136675
1528270,-0.18589155803556326
1528271,-0.15787998106726125
1528272,-0.10821358464023272
1528273,-0.007744194733431099
1528274,-0.04988491810320532
1528275,-0.02420090541099582
1528276,0.02298951822469878
1528277,0.1410785982599056
1528278,0.24644880916159154
1528279,0.16931397263060377
1528280,0.08994450243538311
1528281,0.015589639405707817
1528282,-0.0315874209978853
1528283,-0.12232891129090252
1528284,-0.19165971858189573
1528285,-0.0912346110192879
1528286,-0.013390340059584411
1528287,0.09864685290336433
1528288,0.15291264338514013
1528289,0.16188026552292684
1528290,0.027815092424258434
1528291,-0.022641273284019228
1528292,-0.13609185905919935
1528293,-0.24523538220452382
1528294,-0.05384423681923803
1528295,-0.10860524582271548
1528296,-0.05715841383994864
1528297,-0.028641575963384153
1528298,0.0
1528299,0.020668700420781585
1528300,0.03696041241585489
1528301,0.15063430052418492
1528302,0.35325302309493417
1528303,0.11345814352454439
1528304,0.0832028288965924
1528305,0.010298461619090581
1528306,-0.03659119092296975
1528307,-0.0934775319887345
1528308,-0.06983813179748023
1528309,-0.17773831519707142
1528310,-0.0544881852840698
1528311,0.15529288440603545
1528312,0.0878440550226606
1528313,0.07415641355175012
1528314,0.052441878844300106
1528315,-0.03110316715010341
1528316,-0.08035096908164949
1528317,-0.08464580405499915
1528318,-0.1935071104170455
1528319,-0.21578209412952232
1528320,-0.07794674846088766
1528321,-0.022741853836195716
1528322,0.0
1528323,0.0
1528324,0.028641575963384153
1528325,0.05715841383994862
1528326,0.13467656999187927
1528327,0.15716351260856534
1528328,0.22959572027756156
1528329,0.06758466847304109
1528330,0.0
1528331,-0.03737285306480164
1528332,-0.0628972021721127
1528333,-0.22212175286018446
1528334,-0.1513178167429542
1528335,-0.013958352250706801
1528336,0.07865156439330453
1528337,0.2738984177127775
1528338,0.053918638379322356
1528339,-0.03799111168322091
1528340,-0.06993594000376202
1528341,-0.23980864771163626
1528342,-0.11182449172981937
1528343,-0.04161638089858488
1528344,-0.06970267868580561
1528345,-0.16182303524561356
1528346,-0.04190954220765402
1528347,-0.09785240016750461
1528348,0.08617769624105241
1528349,0.05497458351483141
1528350,0.15449796234507415
1528351,0.037960762239222796
1528352,0.13238460350801612
1528353,0.09863615047632113
1528354,0.20510602439713985
1528355,-0.07459259949903933
1528356,0.06920575634365901
1528357,-0.016715573722262345
1528358,-0.21677184834151697
1528359,-0.012069724087330399
1528360,0.012069724087330324
1528361,0.2679041449211311
1528362,0.08994630168029145
1528363,-0.016249735770319285
1528364,-0.03799111168322091
1528365,-0.070122177084103
1528366,-0.23348742206377932
1528367,-0.10585725418749813
1528368,-0.09139525897481914
1528369,-0.054767880555604095
1528370,-0.11231225289694598
1528371,-0.050705305382040225
1528372,0.10475470340545466
1528373,0.22922065301717123
1528374,0.2839122203783908
1528375,0.08147466416236296
1528376,0.13847577846998663
1528377,0.002155505068601761
1528378,-0.0021555050686018454
1528379,-0.0938162284880136
1528380,-0.05892258371756662
1528381,-0.15445000037186188
1528382,-0.006095657340225043
1528383,0.14004607364571645
1528384,0.10647792631255709
1528385,0.1026380786341848
1528386,0.04022107050715771
1528387,-0.014531584391846918
1528388,-0.04915979769287784
1528389,-0.07801502917680946
1528390,-0.0693338493913598
1528391,-0.19449626837448805
1528392,-0.09501024621594194
1528393,-0.009945618328927944
1528394,-0.0492662413029181
1528395,-0.015113637810048184
1528396,0.06437987911296623
1528397,0.12110924447263591
1528398,0.2979079147247615
1528399,0.05777560390626435
1528400,0.049851866015345296
1528401,0.0856166357575586
1528402,-0.03625774802262425
1528403,-0.06722663478175808
1528404,-0.028297614756599886
1528405,-0.04408385851606036
1528406,0.0
1528407,0.024163473329966004
1528408,0.019920385186094496
1528409,0.0282976147565998
1528410,0.014488889826867635
1528411,-0.02469966380688246
1528412,-0.05085213245114882
1528413,-0.041138901510706496
1528414,-0.09137182802858647
1528415,0.041162273482840385
1528416,-0.23525627511193103
1528417,-0.03191874262853819
1528418,-0.04838754605814813
1528419,-0.04127903291943579
1528420,0.020735898479178342
1528421,0.07110506709113533
1528422,0.2618294693481202
1528423,0.04110279761895713
1528424,0.05250385608362245
1528425,0.030877752855428667
1528426,-0.04128335554343278
1528427,-0.09683418314730008
1528428,-0.11499080132541313
1528429,-0.15316890590475435
1528430,-0.003996452921280511
1528431,0.028510703040804858
